Page,Medium,Date Range,Segment,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/measure/ktt9_cephalosporins/practice/Y02506/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,1,00:00:34,0,0.00%,0.00%,$10.00
/measure/ktt9_cephalosporins/practice/Y02506/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/practice/Y02506/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,3,1,00:00:34,0,0.00%,0.00%,$10.00
/practice/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,3,00:00:11,0,0.00%,66.67%,$6.67
/practice/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,5,5,00:00:16,0,0.00%,20.00%,$6.00
/practice/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/B81656/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,1,00:04:30,1,0.00%,33.33%,$10.00
/practice/B81656/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/B81656/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/D82071/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:00:53,2,50.00%,33.33%,$0.00
/practice/D82071/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/D82071/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/E84003/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,1,00:00:25,1,0.00%,0.00%,$20.00
/practice/E84003/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/E84003/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/F83057/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:00:22,1,0.00%,0.00%,$10.00
/practice/F83057/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/F83057/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/F84047/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,3,00:03:42,2,0.00%,33.33%,$3.33
/practice/F84047/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/F84047/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/G82203/measures/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,1,00:00:43,1,0.00%,0.00%,$10.00
/practice/G82203/measures/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/G82203/measures/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/K82078/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:00:42,2,0.00%,0.00%,$5.00
/practice/K82078/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,5,3,00:00:57,3,0.00%,0.00%,$6.67
/practice/K82078/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/K83068/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:00:26,1,0.00%,0.00%,$10.00
/practice/K83068/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,2,1,00:00:10,1,0.00%,50.00%,$10.00
/practice/K83068/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/K84047/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:00:21,2,50.00%,33.33%,$5.00
/practice/K84047/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/K84047/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L81045/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,3,00:00:00,3,100.00%,100.00%,$0.00
/practice/L81045/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,1,1,00:02:39,1,0.00%,0.00%,$0.00
/practice/L81045/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L84015/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:09:10,2,0.00%,0.00%,$5.00
/practice/L84015/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L84015/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L84051/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,3,00:00:36,3,66.67%,66.67%,$3.33
/practice/L84051/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L84051/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/M81033/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,3,00:00:00,3,100.00%,100.00%,$0.00
/practice/M81033/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/M81033/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/M81067/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,3,00:00:12,3,66.67%,66.67%,$0.00
/practice/M81067/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/M81067/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/M84061/?tags=lowpriority,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:00:43,0,0.00%,0.00%,$0.00
/practice/M84061/?tags=lowpriority,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/M84061/?tags=lowpriority,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/P84027/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,1,00:01:57,1,0.00%,33.33%,$10.00
/practice/P84027/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/P84027/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/Y01291/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,1,00:01:00,1,0.00%,33.33%,$10.00
/practice/Y01291/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/Y01291/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/Y02506/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,1,00:00:14,1,0.00%,33.33%,$10.00
/practice/Y02506/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/Y02506/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,3,1,00:00:14,1,0.00%,33.33%,$10.00
/practice/Y02506/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:00:23,2,0.00%,33.33%,$5.00
/practice/Y02506/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
