Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/practice/E85744/,10,10,00:00:47,8,100.00%,80.00%,$2.00
/practice/F81026/,10,5,00:04:13,1,100.00%,30.00%,$6.00
/practice/F81117/,10,10,00:00:28,6,83.33%,60.00%,$4.00
/practice/F83020/,10,3,00:00:30,1,100.00%,10.00%,$10.00
/practice/F83057/,10,4,00:03:10,1,100.00%,30.00%,$5.00
/practice/F84033/,10,7,00:05:10,1,100.00%,30.00%,$7.14
/practice/F85008/,10,6,00:00:40,4,100.00%,50.00%,$0.00
/practice/G82058/,10,7,00:06:22,3,66.67%,50.00%,$4.29
/practice/G82088/,10,6,00:01:06,5,20.00%,40.00%,$5.00
/practice/G82094/,10,8,00:00:54,3,33.33%,20.00%,$7.50
/practice/H81016/,10,3,00:00:46,0,0.00%,0.00%,$10.00
/practice/H82027/,10,9,00:06:41,9,77.78%,80.00%,$0.00
/practice/J81006/,10,9,00:01:22,6,83.33%,50.00%,$3.33
/practice/J81047/,10,3,00:02:04,0,0.00%,10.00%,$10.00
/practice/J82164/,10,7,00:00:47,2,100.00%,30.00%,$5.00
/practice/K81075/,10,7,00:00:50,0,0.00%,0.00%,$8.57
/practice/K82008/,10,8,00:00:17,0,0.00%,20.00%,$5.00
/practice/K82031/,10,5,00:00:07,0,0.00%,0.00%,$9.00
/practice/L81034/,10,6,00:01:16,1,100.00%,60.00%,$3.33
/practice/L81037/price_per_unit/,10,1,00:00:23,0,0.00%,0.00%,$25.00
/practice/L81051/,10,6,00:00:13,0,0.00%,10.00%,$10.00
/practice/L81089/,10,8,00:00:27,1,100.00%,30.00%,$3.75
/practice/L83112/,10,6,00:00:56,3,66.67%,40.00%,$4.17
/practice/L83607/,10,7,00:00:40,6,50.00%,50.00%,$1.43
/practice/L84050/,10,5,00:01:27,0,0.00%,10.00%,$6.00
/practice/M81039/price_per_unit/,10,7,00:01:09,2,0.00%,10.00%,$11.43
/practice/M81044/,10,8,00:01:40,5,100.00%,60.00%,$1.25
/practice/M81616/,10,9,00:00:56,0,0.00%,10.00%,$8.89
/practice/M84001/,10,8,00:00:15,8,75.00%,80.00%,$0.00
/practice/N83001/,10,2,00:01:31,0,0.00%,20.00%,$10.00
/practice/P81037/,10,10,00:00:44,10,90.00%,90.00%,$0.00
/practice/P81092/,10,8,00:00:29,0,0.00%,20.00%,$5.00
/practice/P83025/,10,8,00:00:40,6,100.00%,70.00%,$2.50
/practice/P84631/,10,9,00:00:49,9,88.89%,90.00%,$0.00
/practice/P86608/,10,9,00:02:50,0,0.00%,20.00%,$10.00
/practice/P92020/,10,6,00:01:03,1,100.00%,30.00%,$6.67
/practice/Y00028/,10,9,00:00:16,9,88.89%,90.00%,$0.00
/practice/Y03602/price_per_unit/,10,2,00:00:24,0,0.00%,10.00%,$10.00
/practice/Y03665/,10,8,00:00:59,8,75.00%,80.00%,$0.00
/practice/Y04957/,10,5,00:09:17,2,50.00%,30.00%,$2.00
/practice/Y05301/,10,10,00:00:00,10,100.00%,100.00%,$0.00
/measure/doacs/practice/C82042/,9,9,00:03:56,6,33.33%,33.33%,$3.33
/measure/doacs/practice/C83036/,9,8,00:01:11,2,50.00%,22.22%,$2.50
/measure/opioidper1000/practice/D82007/,9,6,00:01:07,2,50.00%,33.33%,$5.00
/practice/A81064/,9,4,00:02:31,2,100.00%,33.33%,$2.50
/practice/A82041/,9,4,00:00:28,0,0.00%,33.33%,$7.50
/practice/A86003/,9,5,00:00:28,2,100.00%,33.33%,$4.00
/practice/A87600/,9,6,00:05:28,0,0.00%,55.56%,$5.00
/practice/A89024/,9,9,00:05:56,0,0.00%,66.67%,$1.11
/practice/B81037/,9,7,00:01:03,1,100.00%,33.33%,$5.71
/practice/B87006/measures/,9,4,00:01:31,0,0.00%,11.11%,$5.00
/practice/B87031/,9,8,00:01:33,8,87.50%,88.89%,$0.00
/practice/C81106/,9,6,00:00:41,5,60.00%,55.56%,$1.67
/practice/C82071/price_per_unit/,9,2,00:00:23,0,0.00%,0.00%,$0.00
/practice/C83022/?tags=lowpriority,9,6,00:02:31,0,0.00%,11.11%,$5.00
/practice/C83036/,9,4,00:00:51,1,100.00%,11.11%,$5.00
/practice/C83038/,9,3,00:00:39,1,100.00%,11.11%,$6.67
/practice/C83053/,9,8,00:09:07,2,0.00%,22.22%,$9.38
/practice/C83617/,9,4,00:00:24,0,0.00%,11.11%,$5.00
/practice/C84694/,9,5,00:02:17,2,50.00%,33.33%,$2.00
/practice/C88025/,9,3,00:01:43,0,0.00%,11.11%,$3.33
/practice/C88031/,9,7,00:00:55,4,100.00%,66.67%,$2.86
/practice/C88046/,9,6,00:01:24,2,50.00%,44.44%,$5.00
/practice/D81020/,9,5,00:00:15,5,60.00%,33.33%,$4.00
/practice/D81043/measures/,9,7,00:01:04,3,100.00%,55.56%,$5.71
/practice/E82084/price_per_unit/,9,2,00:00:56,0,0.00%,0.00%,$0.00
/practice/E83034/,9,9,00:00:14,9,88.89%,88.89%,$0.00
/practice/E83631/,9,9,00:00:00,9,100.00%,100.00%,$0.00
/practice/E84601/,9,9,00:00:00,9,100.00%,100.00%,$0.00
/practice/E84665/,9,7,00:00:30,3,100.00%,66.67%,$4.29
/practice/E85044/,9,9,00:01:55,9,88.89%,88.89%,$0.00
/practice/E85120/0906040G0AADRDR/price_per_unit/?date=2018-03-01,9,8,00:00:47,8,50.00%,55.56%,$0.00
/practice/F81186/,9,6,00:00:24,2,50.00%,11.11%,$6.67
/practice/F83652/,9,7,00:05:49,2,50.00%,33.33%,$4.29
/practice/G82142/,9,3,00:00:25,2,0.00%,0.00%,$10.00
/practice/G82221/,9,9,00:03:11,8,87.50%,88.89%,$1.11
/practice/H82043/,9,8,00:00:45,8,87.50%,88.89%,$0.00
/practice/J81625/,9,8,00:00:28,3,0.00%,55.56%,$7.50
/practice/J82194/,9,5,00:00:48,2,100.00%,44.44%,$2.00
/practice/J82622/,9,9,00:01:23,8,87.50%,88.89%,$0.00
/practice/K82603/,9,7,00:02:02,1,100.00%,22.22%,$5.71
/practice/K83015/price_per_unit/,9,2,00:00:08,0,0.00%,0.00%,$10.00
/practice/K83064/price_per_unit/?date=2018-05-01,9,1,00:00:19,0,0.00%,0.00%,$10.00
/practice/K83070/price_per_unit/,9,1,00:00:16,0,0.00%,0.00%,$10.00
/practice/K84009/,9,6,00:00:15,5,40.00%,44.44%,$0.00
/practice/K84011/,9,8,00:05:30,0,0.00%,77.78%,$3.75
/practice/K84052/,9,7,00:01:41,2,50.00%,22.22%,$7.86
/practice/L81070/,9,5,00:01:03,2,50.00%,22.22%,$6.00
/practice/L81086/,9,6,00:01:54,2,0.00%,22.22%,$4.17
/practice/L81131/price_per_unit/,9,4,00:00:24,0,0.00%,0.00%,$10.00
/practice/L82058/#ktt9_cephalosporins,9,7,00:03:12,6,50.00%,33.33%,$2.86
/practice/L83025/price_per_unit/?date=2018-02-01,9,1,00:00:20,0,0.00%,11.11%,$10.00
/practice/L83054/price_per_unit/?date=2018-02-01,9,1,00:00:16,0,0.00%,11.11%,$0.00
/practice/L83101/,9,5,00:00:53,0,0.00%,11.11%,$4.00
/practice/L83136/,9,5,00:01:28,4,25.00%,11.11%,$15.00
/practice/L83624/#arb,9,1,00:02:19,1,0.00%,11.11%,$10.00
/practice/L84031/,9,6,00:03:10,2,50.00%,22.22%,$6.67
/practice/L84052/?tags=infections,9,4,00:00:16,0,0.00%,22.22%,$10.00
/practice/L85003/,9,8,00:04:30,4,100.00%,44.44%,$2.50
/practice/M81038/,9,9,00:03:16,6,83.33%,66.67%,$3.33
/practice/M81058/price_per_unit/,9,1,00:00:18,0,0.00%,0.00%,$0.00
/practice/M81092/price_per_unit/,9,3,00:00:48,1,0.00%,0.00%,$6.67
/practice/M83011/,9,9,00:00:06,7,100.00%,88.89%,$2.22
/practice/M83045/,9,6,00:00:31,6,33.33%,55.56%,$0.00
/practice/N82009/,9,4,00:02:07,3,33.33%,33.33%,$5.00
/practice/N82107/,9,9,00:00:00,9,100.00%,100.00%,$0.00
/practice/P81006/,9,6,00:00:21,3,66.67%,33.33%,$8.33
/practice/P81063/,9,7,00:00:42,1,100.00%,22.22%,$2.86
/practice/P81087/,9,9,00:01:53,2,0.00%,11.11%,$5.56
/practice/P81714/,9,8,00:00:21,1,0.00%,11.11%,$5.00
/practice/P83621/,9,4,00:00:39,1,100.00%,22.22%,$10.00
/practice/P84683/,9,4,00:02:49,2,100.00%,22.22%,$5.00
/practice/P85005/,9,4,00:10:53,3,33.33%,44.44%,$0.00
/practice/P88018/,9,6,00:00:50,1,0.00%,0.00%,$11.67
/practice/P89013/,9,5,00:02:11,0,0.00%,11.11%,$6.00
/practice/Y01756/,9,7,00:02:18,6,83.33%,66.67%,$1.43
/practice/Y02157/,9,9,00:06:16,8,87.50%,88.89%,$0.00
/practice/Y02211/,9,9,00:00:12,9,88.89%,88.89%,$0.00
